,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
480,10914.5,8.6408,48.3741,58.7803,108.8582,0.0461,2.7045,5.0788,clean,1,2
481,10915.0,8.652,52.8598,58.6006,107.8861,0.0461,2.7031,4.9984,shale,2,2
482,10915.5,8.652,53.1164,58.5002,107.5037,0.0438,2.706,4.9231,shale,2,2
483,10916.0,8.6296,57.9012,58.4441,108.4826,0.0453,2.7119,4.8396,shale,2,2
484,10916.5,8.652,61.5477,58.5319,109.2302,0.0529,2.7145,4.7714,shale,2,2
485,10917.0,8.652,62.8588,58.6302,109.2758,0.0651,2.7121,4.7431,shale,2,2
486,10917.5,8.6745,62.3611,58.5419,108.9642,0.0731,2.7113,4.7291,shale,2,2
487,10918.0,8.652,54.5278,58.7719,109.6533,0.0675,2.7049,4.7702,shale,2,2
488,10918.5,8.6296,57.5183,58.8318,108.9519,0.0611,2.7019,4.8103,shale,2,2
489,10919.0,8.652,54.4402,59.5958,107.1632,0.0577,2.6953,4.8845,shale,2,2
490,10919.5,8.6296,61.0193,58.5066,105.9584,0.0553,2.702,4.8878,shale,2,2
491,10920.0,8.652,53.8791,56.9741,104.7327,0.0579,2.707,4.9005,shale,2,2
492,10920.5,8.6296,50.2956,55.5844,104.3753,0.0554,2.7088,4.9089,shale,2,2
493,10921.0,8.6296,47.3051,55.4128,103.2975,0.062,2.7059,4.8953,clean,1,2
494,10921.5,8.652,51.9394,56.4821,102.5803,0.0565,2.706,4.8076,shale,2,2
495,10922.0,8.652,60.594,56.5093,102.6296,0.0585,2.7159,4.6726,shale,2,2
496,10922.5,8.6296,59.9473,56.5373,102.7024,0.0507,2.7187,4.6446,shale,2,2
497,10923.0,8.6296,53.7986,55.532,102.3173,0.0413,2.7215,4.6856,shale,2,2
498,10923.5,8.652,44.6085,54.9831,102.9692,0.0342,2.7144,4.7701,clean,1,2
499,10924.0,8.652,38.3897,55.4411,103.9133,0.0349,2.7123,4.7739,clean,1,2
500,10924.5,8.6408,40.4651,56.6088,104.6489,0.0364,2.7156,4.7339,clean,1,2
501,10925.0,8.6296,39.9527,58.4385,105.2433,0.0342,2.7125,4.7357,clean,1,2
502,10925.5,8.652,46.54,58.469,104.9884,0.0354,2.711,4.7529,clean,1,2
503,10926.0,8.6296,42.6479,58.3535,104.6636,0.0302,2.7014,4.8305,clean,1,2
504,10926.5,8.652,41.5999,57.0432,103.8336,0.0229,2.7042,4.8445,clean,1,2
505,10927.0,8.6296,40.0837,56.432,102.2286,0.0217,2.706,4.8333,clean,1,2
506,10927.5,8.6296,42.3899,55.2463,101.762,0.0323,2.7034,4.7851,clean,1,2
507,10928.0,8.6296,47.7795,54.8368,101.3409,0.0429,2.7041,4.7102,clean,1,2
508,10928.5,8.652,52.002,54.7937,100.6374,0.0473,2.7113,4.629,shale,2,2
509,10929.0,8.652,51.7937,54.3963,100.1629,0.043,2.7266,4.5415,shale,2,2
510,10929.5,8.6408,48.7489,53.5777,100.1424,0.0485,2.7237,4.5766,clean,1,2
511,10930.0,8.6408,43.3302,52.9309,100.0887,0.042,2.7168,4.651,clean,1,2
512,10930.5,8.6296,42.7848,52.6216,100.2189,0.0352,2.706,4.7729,clean,1,2
513,10931.0,8.6408,42.8171,53.0457,101.0625,0.0226,2.7194,4.7713,clean,1,2
514,10931.5,8.6296,37.2266,53.6356,101.6608,0.0221,2.7267,4.7887,clean,1,2
515,10932.0,8.6296,35.0805,54.8947,102.7475,0.0203,2.7301,4.8091,clean,1,2
516,10932.5,8.652,32.0899,55.639,104.1616,0.0197,2.7233,4.9347,clean,1,2
517,10933.0,8.6296,39.2723,56.3787,104.281,0.0136,2.7238,5.1683,clean,1,2
518,10933.5,8.652,34.1884,56.5366,105.2817,0.01,2.7347,5.386,clean,1,2
519,10934.0,8.652,34.5815,56.5982,105.2375,0.0109,2.7388,5.4626,clean,1,2
520,10934.5,8.6296,31.4944,56.7002,104.8061,0.0168,2.7348,5.2964,clean,1,2
521,10935.0,8.6296,39.7505,55.8026,104.8263,0.0246,2.7183,5.1202,clean,1,2
522,10935.5,8.652,42.647,55.9878,104.2704,0.0317,2.7031,5.0496,clean,1,2
523,10936.0,8.652,42.6425,55.1921,103.6717,0.0307,2.6938,5.081,clean,1,2
524,10936.5,8.652,41.2818,55.041,104.7913,0.0316,2.6955,5.0805,clean,1,2
525,10937.0,8.652,40.9348,56.4695,106.1512,0.037,2.7014,5.0571,clean,1,2
526,10937.5,8.652,43.9492,56.9517,106.5126,0.0445,2.7075,5.0212,clean,1,2
527,10938.0,8.6745,45.0375,58.6094,107.4686,0.0442,2.7144,4.9779,clean,1,2
528,10938.5,8.652,41.4968,59.063,109.2541,0.0397,2.7213,4.9233,clean,1,2
529,10939.0,8.652,43.1131,58.5105,107.2927,0.0363,2.7264,4.9029,clean,1,2
530,10939.5,8.6296,41.7085,57.5953,107.2659,0.0368,2.7273,4.9171,clean,1,2
531,10940.0,8.652,47.112,57.6186,107.2448,0.0301,2.7302,4.8982,clean,1,2
532,10940.5,8.652,48.1186,57.5513,106.7237,0.0342,2.7258,4.8577,clean,1,2
533,10941.0,8.6745,50.8101,58.4058,106.9296,0.0412,2.7223,4.7677,shale,2,2
534,10941.5,8.6745,52.2976,58.4992,108.5787,0.0497,2.7149,4.7196,shale,2,2
535,10942.0,8.652,50.2535,57.6724,106.5755,0.0509,2.7249,4.6429,shale,2,2
536,10942.5,8.652,49.7519,57.3477,106.2506,0.0515,2.7246,4.6942,clean,1,2
537,10943.0,8.652,46.4496,56.5921,106.3158,0.0514,2.7393,4.6947,clean,1,2
538,10943.5,8.6408,45.6915,56.4825,105.9204,0.0527,2.7315,4.7855,clean,1,2
539,10944.0,8.6745,44.0997,57.1603,106.6877,0.0489,2.7255,4.7961,clean,1,2
540,10944.5,8.652,47.6586,58.4369,106.611,0.0532,2.7036,4.8854,clean,1,2
